"Date","Price","Open","High","Low","Change %"
"Dec 28, 2009","13.4139","13.4082","13.4424","13.3804","0.42%"
"Dec 25, 2009","13.3572","13.3989","13.4212","13.3516","-0.38%"
"Dec 24, 2009","13.4087","13.4154","13.4424","13.3418","-0.11%"
"Dec 23, 2009","13.4232","13.4420","13.4569","13.3671","-0.18%"
"Dec 22, 2009","13.4480","13.3422","13.4537","13.3192","0.73%"
"Dec 21, 2009","13.3506","13.2292","13.3652","13.2111","0.89%"
"Dec 18, 2009","13.2322","13.1701","13.3171","13.0209","0.52%"
"Dec 17, 2009","13.1640","13.1473","13.2358","13.1110","0.09%"
"Dec 16, 2009","13.1518","13.1327","13.1811","13.0877","0.19%"
"Dec 15, 2009","13.1271","12.9697","13.1754","12.9683","1.15%"
"Dec 14, 2009","12.9779","13.0267","13.0843","12.9300","-0.50%"
"Dec 11, 2009","13.0427","12.9247","13.1540","12.9100","0.98%"
"Dec 10, 2009","12.9167","12.8711","12.9562","12.8447","0.36%"
"Dec 09, 2009","12.8699","12.9445","12.9915","12.7896","-0.60%"
"Dec 08, 2009","12.9475","13.1040","13.1084","12.9123","-1.24%"
"Dec 07, 2009","13.1095","13.2194","13.2410","13.0337","-1.02%"
"Dec 04, 2009","13.2445","12.9325","13.2973","12.8847","2.49%"
"Dec 03, 2009","12.9230","12.7973","12.9626","12.7856","0.89%"
"Dec 02, 2009","12.8095","12.6988","12.8167","12.6812","0.92%"
"Dec 01, 2009","12.6926","12.6353","12.8234","12.6122","0.33%"
"Nov 30, 2009","12.6510","12.6884","12.7510","12.5718","-0.12%"
"Nov 27, 2009","12.6662","12.6706","12.7453","12.4200","-0.08%"
"Nov 26, 2009","12.6761","12.7942","12.8159","12.6353","-0.88%"
"Nov 25, 2009","12.7884","12.9624","12.9830","12.7708","-1.37%"
"Nov 24, 2009","12.9665","13.0297","13.0441","12.9317","-0.48%"
"Nov 23, 2009","13.0294","13.0053","13.0592","12.9673","0.05%"
"Nov 20, 2009","13.0224","13.0290","13.0536","12.9831","-0.14%"
"Nov 19, 2009","13.0411","13.0833","13.1010","12.9778","-0.38%"
"Nov 18, 2009","13.0907","13.0716","13.1083","13.0335","0.02%"
"Nov 17, 2009","13.0879","13.0454","13.1188","12.9934","0.26%"
"Nov 16, 2009","13.0541","13.1149","13.1445","12.9956","-0.68%"
"Nov 13, 2009","13.1441","13.2331","13.2485","13.1017","-0.72%"
"Nov 12, 2009","13.2398","13.1598","13.2750","13.1269","0.61%"
"Nov 11, 2009","13.1594","13.1536","13.1882","13.0730","-0.02%"
"Nov 10, 2009","13.1624","13.1754","13.2107","13.1298","-0.19%"
"Nov 09, 2009","13.1873","13.1779","13.2235","13.1310","0.12%"
"Nov 06, 2009","13.1713","13.2815","13.3100","13.1222","-0.91%"
"Nov 05, 2009","13.2917","13.2904","13.3107","13.1783","0.08%"
"Nov 04, 2009","13.2811","13.2248","13.3777","13.1852","0.39%"
"Nov 03, 2009","13.2294","13.2216","13.2660","13.1579","-0.02%"
"Nov 02, 2009","13.2317","13.1330","13.2859","13.0583","0.27%"
"Oct 30, 2009","13.1966","13.3898","13.4144","13.1652","-1.44%"
"Oct 29, 2009","13.3897","13.2720","13.4204","13.2072","0.87%"
"Oct 28, 2009","13.2736","13.4352","13.4486","13.2559","-1.24%"
"Oct 27, 2009","13.4404","13.5034","13.5232","13.4235","-0.46%"
"Oct 26, 2009","13.5023","13.4881","13.5168","13.4073","0.15%"
"Oct 23, 2009","13.4825","13.3703","13.4941","13.3615","0.75%"
"Oct 22, 2009","13.3826","13.3253","13.4295","13.2918","0.39%"
"Oct 21, 2009","13.3309","13.2797","13.3690","13.2461","0.37%"
"Oct 20, 2009","13.2820","13.2723","13.3435","13.1903","0.06%"
"Oct 19, 2009","13.2741","13.3311","13.3491","13.2320","-0.30%"
"Oct 16, 2009","13.3138","13.2616","13.3786","13.2513","0.37%"
"Oct 15, 2009","13.2647","13.0870","13.2984","13.0739","1.23%"
"Oct 14, 2009","13.1029","13.1377","13.1732","13.0094","-0.20%"
"Oct 13, 2009","13.1294","13.1604","13.2169","13.0967","-0.28%"
"Oct 12, 2009","13.1666","13.1474","13.2570","13.1318","0.09%"
"Oct 09, 2009","13.1543","12.9398","13.1703","12.9383","1.55%"
"Oct 08, 2009","12.9540","12.9750","12.9978","12.9090","-0.18%"
"Oct 07, 2009","12.9773","13.0042","13.0990","12.8871","-0.22%"
"Oct 06, 2009","13.0060","13.1141","13.1349","12.9788","-0.90%"
"Oct 05, 2009","13.1246","13.0951","13.1856","13.0921","-0.23%"
"Oct 02, 2009","13.1554","13.1200","13.1729","12.9744","0.27%"
"Oct 01, 2009","13.1195","13.1375","13.2118","13.0936","-0.24%"
"Sep 30, 2009","13.1517","13.1982","13.2425","13.0856","-0.34%"
"Sep 29, 2009","13.1964","13.1278","13.2402","13.1215","0.53%"
"Sep 28, 2009","13.1273","13.1194","13.1537","12.9173","-0.01%"
"Sep 25, 2009","13.1289","13.3669","13.3852","13.1033","-1.81%"
"Sep 24, 2009","13.3709","13.3938","13.4241","13.2293","-0.07%"
"Sep 23, 2009","13.3802","13.3483","13.4115","13.2501","0.29%"
"Sep 22, 2009","13.3412","13.4703","13.4823","13.3160","-0.98%"
"Sep 21, 2009","13.4736","13.3925","13.5512","13.3661","0.78%"
"Sep 18, 2009","13.3697","13.3342","13.4078","13.3246","0.23%"
"Sep 17, 2009","13.3392","13.3144","13.4213","13.2553","0.17%"
"Sep 16, 2009","13.3161","13.3299","13.3864","13.1995","-0.12%"
"Sep 15, 2009","13.3323","13.3053","13.4215","13.2907","0.15%"
"Sep 14, 2009","13.3118","13.2391","13.3484","13.2054","0.20%"
"Sep 11, 2009","13.2855","13.4375","13.4444","13.2069","-1.13%"
"Sep 10, 2009","13.4378","13.4720","13.5094","13.3817","-0.30%"
"Sep 09, 2009","13.4782","13.5160","13.5624","13.4119","-0.36%"
"Sep 08, 2009","13.5274","13.6203","13.6332","13.4750","-0.69%"
"Sep 07, 2009","13.6220","13.6099","13.6646","13.5866","0.02%"
"Sep 04, 2009","13.6190","13.5536","13.6586","13.5075","0.42%"
"Sep 03, 2009","13.5618","13.4982","13.5852","13.4533","0.44%"
"Sep 02, 2009","13.5021","13.6029","13.6246","13.4777","-0.74%"
"Sep 01, 2009","13.6021","13.6073","13.6847","13.5839","-0.21%"
"Aug 31, 2009","13.6310","13.6804","13.7027","13.5446","-0.52%"
"Aug 28, 2009","13.7026","13.6827","13.7756","13.6695","0.14%"
"Aug 27, 2009","13.6831","13.7914","13.8006","13.6402","-0.85%"
"Aug 26, 2009","13.8000","13.7881","13.8457","13.7374","0.08%"
"Aug 25, 2009","13.7890","13.8301","13.8545","13.7234","-0.34%"
"Aug 24, 2009","13.8358","13.8127","13.9175","13.8098","0.15%"
"Aug 21, 2009","13.8157","13.7839","13.8654","13.6722","0.20%"
"Aug 20, 2009","13.7885","13.7629","13.8431","13.7341","0.16%"
"Aug 19, 2009","13.7669","13.8568","13.8944","13.7029","-0.64%"
"Aug 18, 2009","13.8552","13.8197","13.9442","13.7963","0.25%"
"Aug 17, 2009","13.8206","13.8704","13.8853","13.7759","-0.51%"
"Aug 14, 2009","13.8908","13.9556","13.9736","13.8119","-0.49%"
"Aug 13, 2009","13.9590","14.0566","14.1195","13.9044","-0.71%"
"Aug 12, 2009","14.0585","14.0333","14.1579","13.9123","0.17%"
