"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 06, 2015","50,590.0","50,390.0","50,700.0","49,580.0","606.40K","1.73%"
"Oct 05, 2015","49,730.0","49,260.0","49,940.0","49,110.0","515.10K","2.05%"
"Oct 02, 2015","48,730.0","49,120.0","49,830.0","48,600.0","425.90K","-1.16%"
"Oct 01, 2015","49,300.0","48,370.0","49,940.0","48,030.0","808.50K","1.67%"
"Sep 30, 2015","48,490.0","47,700.0","48,660.0","47,280.0","814.00K","2.84%"
"Sep 29, 2015","47,150.0","47,140.0","47,370.0","46,690.0","960.20K","-0.72%"
"Sep 28, 2015","47,490.0","46,850.0","47,560.0","46,400.0","644.10K","1.47%"
"Sep 25, 2015","46,800.0","45,410.0","46,800.0","45,410.0","769.70K","3.31%"
"Sep 24, 2015","45,300.0","45,000.0","46,260.0","44,660.0","536.70K","-1.86%"
"Sep 18, 2015","46,160.0","46,710.0","47,245.0","46,160.0","570.00K","-2.63%"
"Sep 17, 2015","47,405.0","47,075.0","47,460.0","46,665.0","493.80K","2.22%"
"Sep 16, 2015","46,375.0","47,550.0","47,885.0","45,895.0","660.10K","-1.64%"
"Sep 15, 2015","47,150.0","46,700.0","47,900.0","46,655.0","707.20K","1.69%"
"Sep 14, 2015","46,365.0","48,060.0","48,250.0","46,020.0","672.50K","-2.64%"
"Sep 11, 2015","47,620.0","46,160.0","47,860.0","46,060.0","2.15M","1.48%"
"Sep 10, 2015","46,925.0","47,625.0","47,995.0","45,960.0","1.20M","-5.63%"
"Sep 09, 2015","49,725.0","46,950.0","49,725.0","46,260.0","1.32M","10.08%"
"Sep 08, 2015","45,170.0","47,155.0","47,270.0","45,125.0","608.90K","-3.20%"
"Sep 07, 2015","46,665.0","46,110.0","47,595.0","45,270.0","696.30K","0.43%"
"Sep 04, 2015","46,465.0","48,150.0","48,345.0","46,120.0","667.10K","-2.78%"
"Sep 03, 2015","47,795.0","49,515.0","49,550.0","47,510.0","699.50K","-1.25%"
"Sep 02, 2015","48,400.0","46,845.0","49,595.0","46,680.0","946.40K","1.94%"
"Sep 01, 2015","47,480.0","48,990.0","49,145.0","47,480.0","725.40K","-3.62%"
"Aug 31, 2015","49,265.0","50,430.0","50,640.0","48,890.0","700.00K","-3.08%"
"Aug 28, 2015","50,830.0","50,880.0","51,090.0","50,070.0","645.90K","1.07%"
"Aug 27, 2015","50,290.0","51,000.0","51,380.0","49,620.0","749.10K","-0.65%"
"Aug 26, 2015","50,620.0","47,275.0","50,710.0","46,210.0","1.48M","5.51%"
"Aug 25, 2015","47,975.0","49,900.0","51,450.0","47,660.0","1.55M","-5.75%"
"Aug 24, 2015","50,900.0","51,440.0","52,890.0","50,120.0","1.07M","-2.43%"
"Aug 21, 2015","52,170.0","53,130.0","53,680.0","52,140.0","675.80K","-3.46%"
"Aug 20, 2015","54,040.0","53,920.0","54,650.0","53,250.0","465.80K","0.33%"
"Aug 19, 2015","53,860.0","54,130.0","54,740.0","53,740.0","485.50K","-1.19%"
"Aug 18, 2015","54,510.0","55,500.0","55,940.0","54,400.0","420.90K","-1.78%"
"Aug 17, 2015","55,500.0","55,390.0","55,620.0","55,110.0","254.50K","0.93%"
"Aug 14, 2015","54,990.0","55,090.0","55,450.0","54,470.0","612.90K","-0.94%"
"Aug 13, 2015","55,510.0","54,880.0","55,720.0","54,320.0","738.90K","2.80%"
"Aug 12, 2015","54,000.0","55,000.0","55,670.0","54,000.0","853.50K","-2.79%"
"Aug 11, 2015","55,550.0","56,540.0","56,760.0","55,020.0","712.20K","-1.75%"
"Aug 10, 2015","56,540.0","56,050.0","57,320.0","55,910.0","563.00K","-0.28%"
"Aug 07, 2015","56,700.0","56,430.0","57,080.0","56,200.0","643.70K","-0.91%"
"Aug 06, 2015","57,220.0","58,880.0","58,900.0","56,920.0","854.10K","-2.15%"
"Aug 05, 2015","58,480.0","59,580.0","59,960.0","58,440.0","910.80K","-4.72%"
"Aug 04, 2015","61,380.0","60,450.0","61,830.0","60,360.0","502.80K","1.05%"
"Aug 03, 2015","60,740.0","60,820.0","61,280.0","60,440.0","363.30K","-1.03%"
"Jul 31, 2015","61,370.0","61,550.0","61,650.0","60,670.0","498.20K","-0.90%"
"Jul 30, 2015","61,930.0","60,800.0","61,970.0","60,740.0","737.70K","2.82%"
"Jul 29, 2015","60,230.0","59,880.0","60,460.0","59,480.0","559.60K","1.45%"
"Jul 28, 2015","59,370.0","58,050.0","59,460.0","57,820.0","565.80K","1.89%"
"Jul 27, 2015","58,270.0","57,840.0","58,610.0","57,520.0","376.90K","0.03%"
"Jul 24, 2015","58,250.0","58,900.0","59,080.0","58,210.0","394.40K","-1.74%"
"Jul 23, 2015","59,280.0","58,800.0","60,000.0","58,700.0","486.00K","0.83%"
"Jul 22, 2015","58,790.0","58,510.0","59,180.0","58,500.0","440.00K","-0.81%"
