"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 15","12,037.86","11,306.20","12,970.47","11,200.60","367.02B","4.26%"
"Oct 15","11,546.05","10,332.24","11,834.07","10,265.00","275.69B","15.60%"
"Sep 15","9,988.25","10,388.50","10,702.18","9,259.65","232.73B","-5.32%"
"Aug 15","10,549.16","12,178.57","13,652.54","9,713.99","321.06B","-14.75%"
"Jul 15","12,374.25","14,185.10","14,696.98","10,850.38","419.75B","-13.70%"
"Jun 15","14,337.97","16,247.39","18,211.76","12,723.16","447.89B","-10.95%"
"May 15","16,100.45","14,846.48","17,153.80","14,027.60","256.76B","8.65%"
"Apr 15","14,818.64","13,187.42","15,009.73","13,142.40","121.58B","12.60%"
"Mar 15","13,160.66","11,869.96","13,538.29","11,169.05","85.93B","11.93%"
"Feb 15","11,757.68","10,952.14","11,819.42","10,715.43","36.69B","5.44%"
"Jan 15","11,150.69","11,150.98","11,749.14","10,634.62","61.78B","1.24%"
"Dec 14","11,014.62","9,029.64","11,050.85","9,027.30","104.68B","22.35%"
"Nov 14","9,002.23","8,245.03","9,010.17","8,137.42","51.01B","9.44%"
"Oct 14","8,225.61","8,134.37","8,260.23","7,803.46","36.31B","1.80%"
"Sep 14","8,080.35","7,852.91","8,251.06","7,852.87","38.47B","3.04%"
"Aug 14","7,841.70","7,919.78","8,074.42","7,735.68","33.27B","-1.45%"
"Jul 14","7,956.91","7,340.59","7,957.46","7,146.45","29.06B","8.36%"
"Jun 14","7,343.27","7,365.61","7,433.54","7,134.53","16.07B","-0.29%"
"May 14","7,364.83","7,289.24","7,432.35","7,075.32","16.90B","0.71%"
"Apr 14","7,312.86","7,184.07","7,618.57","7,177.85","19.93B","1.71%"
"Mar 14","7,189.58","7,349.95","7,410.66","6,959.25","23.63B","-2.39%"
"Feb 14","7,365.93","7,515.09","7,997.02","7,174.33","25.11B","-2.73%"
"Jan 14","7,572.63","8,083.77","8,124.56","7,477.78","20.13B","-6.76%"
"Dec 13","8,121.79","8,461.49","8,648.01","7,887.37","21.05B","-4.93%"
"Nov 13","8,542.61","8,433.76","8,630.38","8,054.96","23.25B","1.16%"
"Oct 13","8,444.41","8,505.11","8,815.75","8,214.54","27.94B","-0.82%"
"Sep 13","8,514.57","8,214.94","8,766.70","8,148.17","29.72B","3.80%"
"Aug 13","8,202.48","7,819.45","8,476.05","7,789.93","29.14B","5.63%"
"Jul 13","7,765.40","7,649.30","8,281.55","7,544.77","29.40B","0.92%"
"Jun 13","7,694.47","9,259.48","9,345.66","7,045.60","14.59B","-16.89%"
"May 13","9,257.95","8,643.90","9,511.18","8,597.71","17.61B","6.52%"
"Apr 13","8,691.39","8,901.64","9,142.90","8,645.18","12.70B","-2.23%"
"Mar 13","8,889.77","9,630.87","9,679.44","8,879.29","18.56B","-7.80%"
"Feb 13","9,641.44","9,648.92","10,057.97","9,193.93","16.28B","-0.27%"
"Jan 13","9,667.67","9,204.11","9,804.73","8,976.02","22.01B","6.05%"
"Dec 12","9,116.48","7,903.25","9,119.20","7,660.45","19.37B","15.35%"
"Nov 12","7,903.25","8,473.03","8,739.83","7,786.84","8.82B","-6.69%"
"Oct 12","8,469.80","8,677.99","8,861.04","8,339.66","9.74B","-2.41%"
"Sep 12","8,679.22","8,220.31","8,865.65","8,095.52","13.88B","5.70%"
