"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 08, 2015","11,901.61","11,510.35","11,903.33","11,402.67","495.79M","3.04%"
"Mar 01, 2015","11,550.97","11,408.28","11,600.37","11,193.30","411.22M","1.31%"
"Feb 22, 2015","11,401.66","11,150.47","11,401.66","11,069.77","419.27M","3.18%"
"Feb 15, 2015","11,050.64","10,946.88","11,081.81","10,765.02","434.37M","0.80%"
"Feb 08, 2015","10,963.40","10,765.21","11,013.85","10,594.32","472.91M","1.08%"
"Feb 01, 2015","10,846.39","10,719.18","10,984.69","10,677.39","499.86M","1.42%"
"Jan 25, 2015","10,694.32","10,592.97","10,810.57","10,552.76","543.11M","0.42%"
"Jan 18, 2015","10,649.58","10,231.58","10,704.32","10,149.77","624.97M","4.74%"
"Jan 11, 2015","10,167.77","9,697.46","10,207.97","9,622.32","631.65M","5.38%"
"Jan 04, 2015","9,648.50","9,735.65","9,860.18","9,382.82","507.12M","-1.19%"
"Dec 28, 2014","9,764.73","9,914.87","9,927.85","9,687.26","149.58M","-1.59%"
"Dec 21, 2014","9,922.11","9,827.26","9,924.01","9,826.55","109.34M","1.38%"
"Dec 14, 2014","9,786.96","9,599.82","9,901.26","9,219.05","680.32M","2.00%"
"Dec 07, 2014","9,594.73","10,060.91","10,084.95","9,586.22","461.03M","-4.88%"
"Nov 30, 2014","10,087.12","9,915.74","10,093.03","9,835.42","480.48M","1.06%"
"Nov 23, 2014","9,980.85","9,722.31","9,992.67","9,711.77","488.12M","2.55%"
"Nov 16, 2014","9,732.55","9,162.27","9,736.14","9,161.60","467.90M","5.18%"
"Nov 09, 2014","9,252.94","9,233.87","9,400.90","9,170.28","403.75M","-0.42%"
"Nov 02, 2014","9,291.83","9,305.73","9,467.36","9,148.78","479.62M","-0.38%"
"Oct 26, 2014","9,326.87","9,080.80","9,339.33","8,837.66","523.00M","3.77%"
"Oct 19, 2014","8,987.80","8,819.26","9,068.12","8,644.71","526.55M","1.55%"
"Oct 12, 2014","8,850.27","8,703.85","8,872.40","8,354.97","788.93M","0.70%"
"Oct 05, 2014","8,788.81","9,341.05","9,343.65","8,788.21","587.39M","-4.42%"
"Sep 28, 2014","9,195.68","9,495.58","9,520.97","9,195.68","373.19M","-3.11%"
"Sep 21, 2014","9,490.55","9,748.53","9,812.77","9,454.88","429.22M","-3.15%"
"Sep 14, 2014","9,799.26","9,603.97","9,891.20","9,588.65","461.82M","1.53%"
"Sep 07, 2014","9,651.13","9,767.90","9,773.70","9,617.70","287.30M","-0.98%"
"Aug 31, 2014","9,747.02","9,484.53","9,774.65","9,424.78","372.35M","2.92%"
"Aug 24, 2014","9,470.17","9,456.67","9,600.85","9,369.40","329.92M","1.40%"
"Aug 17, 2014","9,339.17","9,220.99","9,414.39","9,195.11","322.76M","2.71%"
"Aug 10, 2014","9,092.60","9,106.67","9,324.57","9,050.00","428.91M","0.92%"
"Aug 03, 2014","9,009.32","9,222.05","9,243.23","8,903.49","465.23M","-2.18%"
"Jul 27, 2014","9,210.08","9,660.71","9,704.01","9,185.41","490.65M","-4.50%"
"Jul 20, 2014","9,644.01","9,711.68","9,810.47","9,597.62","336.11M","-0.78%"
"Jul 13, 2014","9,720.02","9,710.92","9,871.58","9,655.51","392.50M","0.56%"
"Jul 06, 2014","9,666.34","9,992.13","10,015.36","9,617.59","379.12M","-3.42%"
"Jun 29, 2014","10,009.08","9,833.85","10,032.28","9,800.08","321.73M","1.98%"
"Jun 22, 2014","9,815.17","9,991.40","9,993.02","9,749.75","370.48M","-1.72%"
"Jun 15, 2014","9,987.24","9,885.97","10,050.98","9,861.29","505.34M","0.75%"
"Jun 08, 2014","9,912.87","9,994.40","10,033.74","9,829.09","352.24M","-0.74%"
"Jun 01, 2014","9,987.19","9,986.86","10,013.69","9,866.97","419.27M","0.44%"
"May 25, 2014","9,943.27","9,826.91","9,970.77","9,821.68","375.82M","1.79%"
"May 18, 2014","9,768.01","9,607.32","9,779.59","9,534.56","380.66M","1.44%"
"May 11, 2014","9,629.10","9,608.93","9,810.29","9,577.90","507.41M","0.50%"
"May 04, 2014","9,581.45","9,536.38","9,622.30","9,407.09","418.81M","0.27%"
"Apr 27, 2014","9,556.02","9,454.84","9,627.38","9,407.65","337.36M","1.64%"
"Apr 20, 2014","9,401.55","9,455.52","9,645.06","9,367.42","298.46M","-0.09%"
"Apr 13, 2014","9,409.71","9,248.86","9,417.82","9,166.53","344.17M","1.01%"
"Apr 06, 2014","9,315.29","9,585.52","9,608.20","9,259.43","413.27M","-3.92%"
"Mar 30, 2014","9,695.77","9,621.92","9,721.50","9,543.09","367.28M","1.13%"
"Mar 23, 2014","9,587.19","9,349.52","9,587.19","9,181.37","382.19M","2.61%"
"Mar 16, 2014","9,342.94","9,047.49","9,376.94","9,047.49","571.27M","3.16%"
"Mar 09, 2014","9,056.41","9,305.51","9,382.98","8,913.27","519.56M","-3.15%"
"Mar 02, 2014","9,350.75","9,553.08","9,599.00","9,346.82","493.94M","-3.52%"
"Feb 23, 2014","9,692.08","9,619.64","9,720.66","9,497.78","415.53M","0.36%"
"Feb 16, 2014","9,656.95","9,661.80","9,695.86","9,504.18","344.83M","-0.06%"
"Feb 09, 2014","9,662.40","9,331.71","9,677.53","9,280.18","405.85M","3.88%"
"Feb 02, 2014","9,301.92","9,318.77","9,357.58","9,071.25","527.44M","-0.05%"
"Jan 26, 2014","9,306.48","9,389.17","9,537.63","9,166.05","562.87M","-0.91%"
"Jan 19, 2014","9,392.02","9,713.20","9,794.05","9,374.08","467.78M","-3.60%"
"Jan 12, 2014","9,742.96","9,497.92","9,789.89","9,381.94","529.57M","2.85%"
"Jan 05, 2014","9,473.24","9,419.44","9,549.50","9,399.81","418.79M","0.40%"
"Dec 29, 2013","9,435.15","9,586.53","9,620.93","9,367.99","185.71M","-1.61%"
"Dec 22, 2013","9,589.39","9,436.49","9,589.39","9,427.54","99.76M","2.01%"
"Dec 15, 2013","9,400.18","9,004.62","9,413.09","8,997.75","513.62M","4.37%"
"Dec 08, 2013","9,006.46","9,218.81","9,225.53","8,984.28","344.80M","-1.81%"
"Dec 01, 2013","9,172.41","9,412.95","9,424.83","9,069.82","445.60M","-2.48%"
"Nov 24, 2013","9,405.30","9,258.22","9,424.62","9,252.73","334.27M","2.02%"
