"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 09","1,019.29","1,070.41","1,166.50","991.93","-","-5.37%"
"Jan 09","1,077.09","1,083.76","1,215.52","1,026.50","-","-0.24%"
"Dec 08","1,079.66","993.99","1,161.56","919.28","-","8.62%"
"Nov 08","993.99","1,014.60","1,138.79","821.82","-","-1.66%"
"Oct 08","1,010.79","1,595.47","1,609.90","819.36","-","-36.75%"
"Sep 08","1,598.17","1,777.35","1,793.89","1,433.32","-","-10.07%"
"Aug 08","1,777.14","1,919.14","1,919.14","1,686.24","-","-7.43%"
"Jul 08","1,919.82","2,108.00","2,108.00","1,865.61","-","-8.92%"
"Jun 08","2,107.87","2,204.43","2,211.43","2,026.77","-","-4.44%"
"May 08","2,205.72","2,102.26","2,257.25","2,083.03","-","5.26%"
